account,balance_t,total,total_1,total_13,total_35,total_5,is_in,type
60821458,"[147, 0, 125, 22, 0]",147,0,125,22,0,True,1
63021658,"[147, 0, 50, 93, 4]",147,0,50,93,4,True,2
60010518,"[147, 1, 124, 20, 2]",147,1,124,20,2,True,1
65025858,"[147, 0, 24, 123, 0]",147,0,24,123,0,True,2
67018158,"[44, 39, 5, 0, 0]",44,39,5,0,0,True,0
61825998,"[147, 38, 109, 0, 0]",147,38,109,0,0,True,1
66099168,"[65, 61, 4, 0, 0]",65,61,4,0,0,True,0
67000298,"[63, 63, 0, 0, 0]",63,63,0,0,0,True,0
66069868,"[123, 122, 1, 0, 0]",123,122,1,0,0,True,0
65020898,"[147, 24, 123, 0, 0]",147,24,123,0,0,True,1
69860618,"[147, 0, 123, 24, 0]",147,0,123,24,0,True,1
62061678,"[147, 22, 2, 104, 19]",147,22,2,104,19,True,2
67012898,"[46, 8, 5, 33, 0]",46,8,5,33,0,True,2
62082808,"[147, 22, 125, 0, 0]",147,22,125,0,0,True,1
61829428,"[147, 0, 0, 6, 141]",147,0,0,6,141,True,3
67002678,"[52, 0, 52, 0, 0]",52,0,52,0,0,True,1
67017558,"[44, 31, 13, 0, 0]",44,31,13,0,0,True,0
60012108,"[89, 1, 50, 38, 0]",89,1,50,38,0,True,1
69869688,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
67017068,"[45, 6, 14, 25, 0]",45,6,14,25,0,True,2
61828598,"[147, 22, 125, 0, 0]",147,22,125,0,0,True,1
66051838,"[133, 22, 102, 9, 0]",133,22,102,9,0,True,1
61855468,"[147, 22, 125, 0, 0]",147,22,125,0,0,True,1
69884518,"[147, 18, 127, 2, 0]",147,18,127,2,0,True,1
66079778,"[47, 23, 24, 0, 0]",47,23,24,0,0,True,1
60821958,"[147, 24, 123, 0, 0]",147,24,123,0,0,True,1
60016668,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
63091508,"[123, 0, 123, 0, 0]",123,0,123,0,0,True,1
66025268,"[122, 21, 23, 19, 59]",122,21,23,19,59,True,3
61812558,"[147, 145, 2, 0, 0]",147,145,2,0,0,True,0
60801868,"[147, 0, 23, 20, 104]",147,0,23,20,104,True,3
67812398,"[147, 121, 26, 0, 0]",147,121,26,0,0,True,0
61841308,"[147, 1, 146, 0, 0]",147,1,146,0,0,True,1
69871508,"[147, 0, 50, 94, 3]",147,0,50,94,3,True,2
61829198,"[147, 1, 0, 0, 146]",147,1,0,0,146,True,3
61810618,"[147, 64, 83, 0, 0]",147,64,83,0,0,True,1
61860298,"[147, 24, 123, 0, 0]",147,24,123,0,0,True,1
61812478,"[147, 118, 29, 0, 0]",147,118,29,0,0,True,0
61849028,"[147, 0, 135, 12, 0]",147,0,135,12,0,True,1
65021068,"[147, 38, 109, 0, 0]",147,38,109,0,0,True,1
69895618,"[147, 46, 92, 9, 0]",147,46,92,9,0,True,1
69851718,"[40, 0, 2, 38, 0]",40,0,2,38,0,True,2
62072788,"[147, 103, 26, 18, 0]",147,103,26,18,0,True,0
69857778,"[147, 127, 20, 0, 0]",147,127,20,0,0,True,0
