account_id,process_date,amount,amount_after,amount_befor
63071178,2019-12-23,9000.0,10353.81,19353.809999999998
63059158,2019-12-23,3000.0,22424.1,25424.1
67002098,2019-12-23,8552.22,36634.26,45186.48
60816818,2019-12-23,8800.0,20089.09,28889.09
62096038,2019-12-23,10000.0,20298.89,30298.89
61888218,2019-12-23,3800.0,10092.44,13892.44
61890318,2019-12-23,3300.0,10088.69,13388.69
67021798,2019-12-23,12649.07,3999.99,16649.059999999998
60829568,2019-12-23,1600.0,10011.03,11611.03
66099058,2019-12-23,5000.0,7891.73,12891.73
66096168,2019-12-23,1000.0,22309.22,23309.22
66052228,2019-12-23,5045.23,8695.05,13740.279999999999
63065618,2019-12-23,9538.15,891.83,10429.98
61860308,2019-12-23,2806.94,3789.99,6596.93
61860328,2019-12-23,9001.07,402.3,9403.369999999999
61866618,2019-12-23,4551.01,390.0,4941.01
66061568,2019-12-23,19000.0,27311.48,46311.479999999996
66079098,2019-12-23,4380.11,3640.91,8021.0199999999995
60826708,2019-12-23,8800.0,8689.29,17489.29
62096088,2019-12-23,10000.0,20553.76,30553.76
69837908,2019-12-23,3700.0,15995.6,19695.6
61804428,2019-12-23,10000.0,14225.23,24225.23
69847898,2019-12-23,3596.82,7297.3,10894.12
65022618,2019-12-23,10000.0,21351.36,31351.36
67000188,2019-12-23,6940.0,7358.17,14298.17
69825688,2019-12-23,4000.0,20360.24,24360.24
69873278,2019-12-23,20000.0,34672.11,54672.11
63070618,2019-12-23,10000.0,23708.06,33708.06
65021578,2019-12-23,8247.96,3636.28,11884.24
61836018,2019-12-23,1070.44,30000.0,31070.44
61882298,2019-12-23,2984.35,30000.0,32984.35
61834128,2019-12-23,3773.92,11070.33,14844.25
62097638,2019-12-23,10000.0,20435.42,30435.42
66097788,2019-12-23,4000.0,19924.14,23924.14
69820028,2019-12-23,10000.0,10565.37,20565.370000000003
69863808,2019-12-23,51949.92,0.0,51949.92
67065668,2019-12-23,13000.1,20634.89,33634.99
67052238,2019-12-23,5000.0,6395.3,11395.3
66098828,2019-12-23,2906.06,17378.74,20284.800000000003
62099088,2019-12-23,10000.0,19369.3,29369.3
69825718,2019-12-23,5000.0,24077.71,29077.71
67001578,2019-12-23,5000.0,4982.32,9982.32
63070178,2019-12-23,10000.0,31900.84,41900.84
60814818,2019-12-23,11000.0,9100.78,20100.78
67002558,2019-12-23,10.0,4836980.95,4836990.95
67002558,2019-12-23,1298406.7,4836980.95,6135387.65
61815008,2019-12-23,103545.65,0.0,103545.65
69848758,2019-12-23,2324.0,1876.62,4200.62
66097188,2019-12-23,7975.98,8704.09,16680.07
60005058,2019-12-23,6000.0,9317.91,15317.91
61848978,2019-12-23,10.0,6598.71,6608.71
67002568,2019-12-23,4051.94,8689.59,12741.53
69812668,2019-12-23,1751.31,8695.8,10447.109999999999
61867758,2019-12-23,5149.0,1539.55,6688.55
69885458,2019-12-23,9000.0,1175.38,10175.380000000001
61867888,2019-12-23,5165.0,8414.73,13579.73
61883898,2019-12-23,8800.0,8787.7,17587.7
67077638,2019-12-23,10000.0,128.12,10128.12
61844668,2019-12-23,4371.56,9242.91,13614.470000000001
67015708,2019-12-23,6000.0,8583.61,14583.61
65027278,2019-12-23,19600.0,14125.74,33725.74
61804968,2019-12-23,2010.0,10690.64,12700.64
66071258,2019-12-23,3000.0,17834.3,20834.3
60089218,2019-12-23,10000.0,10226.73,20226.73
65008678,2019-12-23,11000.0,9598.22,20598.22
61881688,2019-12-23,11761.05,0.0,11761.05
61848978,2019-12-23,780.22,6598.71,7378.93
61881688,2019-12-23,50.0,0.0,50.0
61881688,2019-12-23,11711.05,0.0,11711.05
66091128,2019-12-20,79000.0,16269.8,95269.8
67029938,2019-12-20,9700.0,11548.43,21248.43
61859578,2019-12-20,5317.81,883.16,6200.97
62077008,2019-12-20,4400.0,26743.9,31143.9
67002108,2019-12-20,4391.51,16721.65,21113.160000000003
61874688,2019-12-20,2000.0,12037.8,14037.8
60826708,2019-12-20,3200.0,17489.29,20689.29
66025578,2019-12-20,6900.0,31547.37,38447.369999999995
