funds_account,stat_time_day,total_deposit_amount,total_withdraw_amount,assets_start,assets_end,in,out,rate,pro_in,pro_ot
60801508,2019-02-18,30700.0,31277.0,0.0,0.0,30700.0,31277.0,1.0187947882736157,0.0,0.0
60801558,2019-10-17,570117.0,353010.0,0.0,233891.01,570117.0,586901.01,1.0294395887160004,0.0,0.0
60801588,2018-11-15,50000.0,193843.0,239226.89,0.0,289226.89,193843.0,0.6702108507269154,0.0,0.0
60801688,2018-07-26,4990.0,3000.0,5245.65,11035.63,10235.65,14035.63,1.3712495054051281,0.0,0.0
60801828,2018-08-02,0.0,3786.0,5223.36,0.0,5223.36,3786.0,0.7248208049990811,0.0,0.0
60801858,2018-07-25,49940.0,10000.0,13915.91,57144.25,63855.91,67144.25,1.051496251482439,0.0,0.0
60801868,2018-07-25,22176.0,82926.0,82616.67,18655.8,104792.67,101581.8,0.9693597844200363,0.0,0.0
60801888,2018-08-21,50.0,27270.0,24980.25,3062.14,25030.25,30332.14,1.2118192986486351,0.0,0.0
60802098,2018-07-26,15920.0,15500.0,11029.83,15107.54,26949.83,30607.54,1.1357229340593242,0.0,0.0
60802128,2018-08-15,11599.0,10531.0,9280.91,11507.24,20879.91,22038.239999999998,1.0554758138325309,0.0,0.0
60803068,2018-11-05,0.0,16541.0,16530.68,0.0,16530.68,16541.0,1.0006242937374628,0.0,0.0
60803378,2018-07-31,20000.0,20361.0,10660.82,12033.82,30660.82,32394.82,1.0565542604535691,0.0,0.0
60803578,2018-09-04,0.0,6390.0,8153.39,0.0,8153.39,6390.0,0.7837230894143418,0.0,0.0
60803608,2019-07-19,16000.0,10000.0,0.0,6000.0,16000.0,16000.0,1.0,0.0,0.0
60803618,2018-08-08,10700.0,20000.0,46900.89,47972.0,57600.89,67972.0,1.1800512110142742,0.0,0.0
60803878,2018-07-27,19530.0,10000.0,4134.35,14016.55,23664.35,24016.55,1.0148831470122779,0.0,0.0
60804768,2018-07-31,0.0,86684.0,82142.56,3996.27,82142.56,90680.27,1.1039377151138217,0.0,0.0
60805788,2018-08-06,0.0,20050.0,40008.14,28961.84,40008.14,49011.84,1.2250467029959402,0.0,0.0
60805878,2019-02-27,62400.0,49109.0,0.0,18905.13,62400.0,68014.13,1.0899700320512822,0.0,0.0
60805988,2018-08-06,28608.0,10000.0,18502.29,44824.88,47110.29,54824.88,1.163755943765152,0.0,0.0
60806478,2018-08-13,40000.0,30000.0,216815.77,226810.69,256815.77,256810.69,0.9999802192832629,0.0,0.0
60806488,2018-07-27,20970.0,26874.0,19043.45,26267.82,40013.45,53141.82,1.3280989267358851,0.0,0.0
60806618,2018-08-03,10000.0,11331.0,9394.62,11913.09,19394.620000000003,23244.09,1.1984813314207754,0.0,0.0
60806758,2018-07-31,42000.0,53294.0,19309.63,20157.74,61309.630000000005,73451.74,1.1980457229965342,0.0,0.0
60807428,2018-08-08,10.0,17349.0,17883.46,0.0,17893.46,17349.0,0.9695721229991293,0.0,0.0
