account,tran_stocks_all,tran_stocks_ipo,ipo_rate
62096078,16,16,1.0
61801418,215,61,0.2837209302325581
60818258,15,15,1.0
61850178,51,45,0.8823529411764706
61834458,23,23,1.0
69838318,34,34,1.0
61832498,65,65,1.0
67019528,8,7,0.875
61846968,68,68,1.0
68843158,73,26,0.3561643835616438
60010588,3,2,0.6666666666666666
67008678,5,3,0.6
61895488,52,52,1.0
61825828,127,1,0.007874015748031496
66098808,7,7,1.0
61826658,1,1,1.0
60818518,34,25,0.7352941176470589
63065838,19,19,1.0
61869198,95,69,0.7263157894736842
61832308,68,68,1.0
65060678,44,23,0.5227272727272727
62091928,44,18,0.4090909090909091
61805388,23,22,0.9565217391304348
67000218,10,10,1.0
61840058,27,27,1.0
69842198,41,40,0.975609756097561
67028198,6,5,0.8333333333333334
67051068,5,4,0.8
65019718,35,35,1.0
60001668,44,6,0.13636363636363635
62096118,23,23,1.0
60820418,15,15,1.0
67079808,1,0,0.0
65089628,4,1,0.25
67025198,4,4,1.0
67027758,3,3,1.0
63015168,31,31,1.0
67020588,16,16,1.0
62089698,61,24,0.39344262295081966
61852928,52,52,1.0
67021868,4,4,1.0
61861868,22,22,1.0
66096868,0,0,
61842518,45,45,1.0
61834678,16,15,0.9375
62089678,69,36,0.5217391304347826
62089588,49,30,0.6122448979591837
69872398,49,28,0.5714285714285714
67010978,8,8,1.0
66072758,9,8,0.8888888888888888
66069038,23,23,1.0
66075058,35,35,1.0
67010178,1,1,1.0
61820828,1,1,1.0
67002298,1,0,0.0
66029938,5,5,1.0
66071288,2,1,0.5
67065828,2,2,1.0
62069618,18,18,1.0
62069638,18,18,1.0
62061698,18,18,1.0
62061718,22,22,1.0
62070078,24,24,1.0
62075258,20,20,1.0
62069668,23,23,1.0
69809968,11,11,1.0
66072268,3,3,1.0
62075598,8,8,1.0
69887158,10,10,1.0
67008788,9,8,0.8888888888888888
67028158,3,3,1.0
63091618,5,5,1.0
62081588,8,1,0.125
67029808,2,2,1.0
67050718,3,3,1.0
67050078,5,5,1.0
68840728,36,36,1.0
61854318,45,43,0.9555555555555556
67028028,7,6,0.8571428571428571
69802498,14,10,0.7142857142857143
67028238,2,2,1.0
65019988,17,17,1.0
67066528,2,2,1.0
61896478,26,25,0.9615384615384616
67028298,4,4,1.0
67856698,34,34,1.0
67059168,0,0,
63070538,0,0,
63079178,22,19,0.8636363636363636
67021638,15,12,0.8
69861468,9,8,0.8888888888888888
61851778,56,56,1.0
69880858,16,13,0.8125
61802578,31,31,1.0
65021138,17,16,0.9411764705882353
69854228,20,20,1.0
67027688,10,6,0.6
61853898,11,10,0.9090909090909091
61890008,28,26,0.9285714285714286
66077508,1,1,1.0
69809768,8,7,0.875
63075198,46,46,1.0
63077858,28,28,1.0
61806518,86,70,0.813953488372093
63098218,37,35,0.9459459459459459
69824278,40,5,0.125
65050288,17,3,0.17647058823529413
61804678,41,41,1.0
63088078,28,27,0.9642857142857143
62077238,24,21,0.875
67067118,1,1,1.0
66025188,22,22,1.0
62099718,33,25,0.7575757575757576
61802898,164,98,0.5975609756097561
63066268,16,9,0.5625
66019818,21,21,1.0
61824358,42,42,1.0
61804308,18,17,0.9444444444444444
67057578,7,6,0.8571428571428571
61807808,373,99,0.26541554959785524
65009818,64,5,0.078125
67080558,1,0,0.0
60828898,61,60,0.9836065573770492
61834078,23,23,1.0
61848858,27,27,1.0
61852628,35,34,0.9714285714285714
66089908,3,1,0.3333333333333333
69886998,48,48,1.0
61833798,33,5,0.15151515151515152
65017688,15,15,1.0
33946889,14,14,1.0
62081878,55,51,0.9272727272727272
63027038,38,38,1.0
60015118,48,48,1.0
61840778,49,46,0.9387755102040817
60807518,1,0,0.0
67011798,10,9,0.9
67810588,45,44,0.9777777777777777
63072988,27,27,1.0
67856058,42,29,0.6904761904761905
67021718,11,10,0.9090909090909091
62082068,34,33,0.9705882352941176
63008888,33,31,0.9393939393939394
61807708,42,42,1.0
66072658,14,14,1.0
61805318,12,9,0.75
60016808,1,1,1.0
66071578,12,12,1.0
67089208,0,0,
61871808,51,50,0.9803921568627451
66098898,13,13,1.0
65058128,33,33,1.0
60005098,15,13,0.8666666666666667
67057788,9,9,1.0
66096928,14,14,1.0
61891668,60,38,0.6333333333333333
67816798,48,45,0.9375
63067608,1,0,0.0
67022558,5,3,0.6
67025758,5,4,0.8
68842728,11,0,0.0
69881018,18,16,0.8888888888888888
66028798,2,2,1.0
69861668,38,38,1.0
67025888,1,0,0.0
61874908,5,5,1.0
65016998,9,9,1.0
65022958,11,11,1.0
67065298,2,1,0.5
67008658,8,8,1.0
66099118,16,16,1.0
61862128,25,25,1.0
67065578,2,1,0.5
62086778,26,26,1.0
66092978,9,0,0.0
67056508,2,2,1.0
67029558,6,5,0.8333333333333334
67026668,3,3,1.0
65010808,16,12,0.75
62080098,14,14,1.0
67008008,4,4,1.0
67813018,91,16,0.17582417582417584
63069978,19,19,1.0
67056798,11,10,0.9090909090909091
65028988,25,25,1.0
67001558,11,11,1.0
69839678,55,52,0.9454545454545454
66055208,16,13,0.8125
65008808,19,16,0.8421052631578947
67075218,1,0,0.0
67056598,5,5,1.0
67022758,1,1,1.0
