,account,tran_stocks_all,tran_stocks_ipo,ipo_rate
872,67095968,0,0,
873,66068938,3,2,0.6666666666666666
874,65060818,10,10,1.0
875,69874008,12,7,0.5833333333333334
890,60830098,6,6,1.0
891,65012038,15,0,0.0
892,66068778,6,0,0.0
894,66068688,22,22,1.0
896,67056688,1,0,0.0
897,67060578,2,2,1.0
905,67081868,0,0,
922,66091858,6,1,0.16666666666666666
934,67055598,2,2,1.0
936,62079598,11,11,1.0
941,67016668,4,4,1.0
942,67065038,1,1,1.0
943,62081808,3,2,0.6666666666666666
946,66077228,1,1,1.0
956,60800018,1,0,0.0
957,67005768,4,1,0.25
963,66076058,24,20,0.8333333333333334
964,67020598,7,7,1.0
966,66085188,2,2,1.0
972,62097978,26,26,1.0
1000,69827968,38,38,1.0
1001,62091558,40,40,1.0
1002,67065758,0,0,
1003,69869898,31,31,1.0
1004,66022128,25,23,0.92
1006,67021618,1,1,1.0
1012,67021278,2,1,0.5
1013,62067128,12,11,0.9166666666666666
1017,62085508,13,13,1.0
1018,60000198,34,34,1.0
1019,67078278,0,0,
1020,67007898,6,6,1.0
1021,66020078,19,19,1.0
1022,67020578,2,2,1.0
1023,61860798,38,38,1.0
1024,67012838,16,16,1.0
1025,67058968,11,6,0.5454545454545454
1026,66098778,6,6,1.0
1027,61844898,13,3,0.23076923076923078
1028,60809258,16,12,0.75
1029,61826068,42,42,1.0
1030,69862888,4,4,1.0
1040,61849178,88,78,0.8863636363636364
1041,62071868,71,64,0.9014084507042254
1042,67068188,2,2,1.0
1043,61897828,16,8,0.5
1044,66881878,45,43,0.9555555555555556
1045,67059128,3,3,1.0
1046,60806758,64,59,0.921875
1047,65019758,29,27,0.9310344827586207
1048,72788881,10,0,0.0
1049,67086168,0,0,
1050,61812028,75,73,0.9733333333333334
1051,65019568,35,26,0.7428571428571429
1052,67065688,0,0,
1053,67008278,5,5,1.0
1054,66080788,9,9,1.0
1055,67056568,3,3,1.0
1056,66071218,15,11,0.7333333333333333
1057,67008888,8,8,1.0
1058,66097228,22,8,0.36363636363636365
1059,62085588,43,43,1.0
1060,60012988,36,27,0.75
1061,66098958,16,16,1.0
1062,66051668,31,31,1.0
1063,69885418,67,64,0.9552238805970149
1064,67059608,5,5,1.0
1065,67058558,8,8,1.0
1066,67027698,4,4,1.0
1067,67002638,6,6,1.0
1068,61825088,27,26,0.9629629629629629
1069,61877968,27,27,1.0
1070,61861878,48,45,0.9375
1071,61851328,42,41,0.9761904761904762
1072,63076688,2,1,0.5
1073,69889408,20,19,0.95
1074,63015138,8,0,0.0
1075,61842828,59,59,1.0
1076,66097018,26,26,1.0
1077,69802588,40,36,0.9
1078,67008068,10,10,1.0
1079,63071738,17,13,0.7647058823529411
1080,67058888,3,3,1.0
1081,61807428,32,24,0.75
1082,65015618,53,53,1.0
1083,67079058,0,0,
1084,61891208,51,51,1.0
1085,61808168,25,17,0.68
1086,66051658,35,35,1.0
1087,66050778,36,36,1.0
1088,67068638,0,0,
1089,67029898,5,4,0.8
1090,67058898,3,3,1.0
1091,61825858,51,51,1.0
1092,65059908,8,8,1.0
1093,69844798,15,15,1.0
1094,67058838,3,3,1.0
1095,66095958,4,4,1.0
1096,69879508,30,30,1.0
1097,62090878,34,32,0.9411764705882353
1098,61846088,22,22,1.0
1099,63069278,14,14,1.0
1100,67079678,2,0,0.0
1101,66061608,5,3,0.6
1106,60000988,5,1,0.2
1107,60006568,16,16,1.0
1109,69844108,9,9,1.0
1115,60825288,4,4,1.0
1117,60825298,3,3,1.0
1118,68844788,5,5,1.0
1122,65018578,12,12,1.0
1125,65019868,16,12,0.75
1127,62080128,11,7,0.6363636363636364
1139,67070808,1,0,0.0
1141,63065608,25,22,0.88
1143,61826578,10,7,0.7
1146,68680209,13,13,1.0
1151,60800098,29,12,0.41379310344827586
1152,66092728,0,0,
1167,60827768,21,14,0.6666666666666666
1169,66099658,45,0,0.0
1171,60016768,2,2,1.0
1172,61891298,49,49,1.0
1173,60811318,48,48,1.0
1176,67028178,2,2,1.0
1177,67000778,1,1,1.0
1180,61880668,37,37,1.0
1181,60801688,11,11,1.0
1183,67019898,3,2,0.6666666666666666
1185,66075908,3,3,1.0
1186,66089608,12,8,0.6666666666666666
1187,63057288,4,4,1.0
1188,67061628,0,0,
1189,65020058,1,0,0.0
1193,66098008,3,0,0.0
1194,67010138,13,13,1.0
1202,61826718,25,25,1.0
1214,67012958,2,2,1.0
1215,63050618,18,16,0.8888888888888888
1217,60016678,32,32,1.0
1223,67029878,3,3,1.0
1224,66070078,6,6,1.0
1233,61803418,13,13,1.0
1236,62840178,22,22,1.0
1239,65026728,11,11,1.0
1242,63080908,55,40,0.7272727272727273
1244,67009888,4,4,1.0
1246,62095718,34,29,0.8529411764705882
1247,67000058,4,4,1.0
1248,66077698,2,1,0.5
1249,61872558,70,70,1.0
1250,61829368,43,40,0.9302325581395349
1251,60813178,24,24,1.0
1252,66077078,3,3,1.0
1253,60800108,24,24,1.0
1254,19860923,29,24,0.8275862068965517
1255,67068738,2,2,1.0
1257,67010808,1,0,0.0
1258,66081758,23,3,0.13043478260869565
1259,63071638,23,16,0.6956521739130435
1260,62096078,16,16,1.0
1261,61801418,215,61,0.2837209302325581
1262,60818258,15,15,1.0
1263,61850178,51,45,0.8823529411764706
1264,61834458,23,23,1.0
1265,69838318,34,34,1.0
1266,61832498,65,65,1.0
1267,67019528,8,7,0.875
1268,61846968,68,68,1.0
1269,68843158,73,26,0.3561643835616438
1270,60010588,3,2,0.6666666666666666
1271,67008678,5,3,0.6
1272,61895488,52,52,1.0
1273,61825828,127,1,0.007874015748031496
1274,66098808,7,7,1.0
1275,61826658,1,1,1.0
1276,60818518,34,25,0.7352941176470589
1277,63065838,19,19,1.0
1278,61869198,95,69,0.7263157894736842
1279,61832308,68,68,1.0
1280,65060678,44,23,0.5227272727272727
1281,62091928,44,18,0.4090909090909091
1282,61805388,23,22,0.9565217391304348
1283,67000218,10,10,1.0
1284,61840058,27,27,1.0
1285,69842198,41,40,0.975609756097561
1286,67028198,6,5,0.8333333333333334
1287,67051068,5,4,0.8
1288,65019718,35,35,1.0
1289,60001668,44,6,0.13636363636363635
1290,62096118,23,23,1.0
1291,60820418,15,15,1.0
1292,67079808,1,0,0.0
1293,65089628,4,1,0.25
1295,67025198,4,4,1.0
1296,67027758,3,3,1.0
1298,63015168,31,31,1.0
1299,67020588,16,16,1.0
1300,62089698,61,24,0.39344262295081966
1301,61852928,52,52,1.0
1305,67021868,4,4,1.0
1306,61861868,22,22,1.0
1307,66096868,0,0,
1308,61842518,45,45,1.0
1309,61834678,16,15,0.9375
1310,62089678,69,36,0.5217391304347826
1311,62089588,49,30,0.6122448979591837
1312,69872398,49,28,0.5714285714285714
1313,67010978,8,8,1.0
1319,66072758,9,8,0.8888888888888888
1324,66069038,23,23,1.0
1325,66075058,35,35,1.0
1326,67010178,1,1,1.0
1327,61820828,1,1,1.0
1329,67002298,1,0,0.0
1330,66029938,5,5,1.0
1335,66071288,2,1,0.5
1341,67065828,2,2,1.0
1354,62069618,18,18,1.0
1355,62069638,18,18,1.0
1356,62061698,18,18,1.0
1357,62061718,22,22,1.0
1364,62070078,24,24,1.0
1366,62075258,20,20,1.0
1367,62069668,23,23,1.0
1376,69809968,11,11,1.0
1378,66072268,3,3,1.0
1380,62075598,8,8,1.0
1381,69887158,10,10,1.0
1382,67008788,9,8,0.8888888888888888
1387,67028158,3,3,1.0
1390,63091618,5,5,1.0
1391,62081588,8,1,0.125
1393,67029808,2,2,1.0
1394,67050718,3,3,1.0
1396,67050078,5,5,1.0
1401,68840728,36,36,1.0
1420,61854318,45,43,0.9555555555555556
1421,67028028,7,6,0.8571428571428571
1422,69802498,14,10,0.7142857142857143
1428,67028238,2,2,1.0
1429,65019988,17,17,1.0
1431,67066528,2,2,1.0
1437,61896478,26,25,0.9615384615384616
1438,67028298,4,4,1.0
1443,67856698,34,34,1.0
1448,67059168,0,0,
1452,63070538,0,0,
1456,63079178,22,19,0.8636363636363636
1458,67021638,15,12,0.8
1461,69861468,9,8,0.8888888888888888
1462,61851778,56,56,1.0
1463,69880858,16,13,0.8125
1464,61802578,31,31,1.0
1465,65021138,17,16,0.9411764705882353
1466,69854228,20,20,1.0
1467,67027688,10,6,0.6
1468,61853898,11,10,0.9090909090909091
1469,61890008,28,26,0.9285714285714286
1470,66077508,1,1,1.0
