account_id,cash_in_first_day,asset_first_out
60801108,2019-03-29,11331.01000000000000000000
60801298,2019-07-22,1039.42000000000000000000
60801478,2019-04-23,36668.89000000000000000000
60801488,2019-10-23,20924.00000000000000000000
60801508,2019-03-25,0E-20
60801558,2019-10-22,58157.77000000000000000000
60801588,2019-03-18,76279.35000000000000000000
60801688,2019-08-22,657.89000000000000000000
60801828,2019-07-17,0E-20
60801858,2019-09-03,41952.26000000000000000000
60801868,2019-06-27,58804.21133000000000000000
60801888,2019-09-24,3039.12000000000000000000
60802098,2019-02-01,8629.83000000000000000000
60802128,2019-08-02,530.89000000000000000000
60803068,2019-06-26,0E-20
60803378,2019-06-27,14924.78000000000000000000
60803578,2019-07-18,0E-20
60803608,2019-08-13,0E-20
60803618,2019-09-20,28936.53000000000000000000
60803878,2019-04-18,516.77000000000000000000
60804768,2019-04-01,57763.42000000000000000000
60805788,2019-10-29,25154.49000000000000000000
60805878,2019-04-01,0E-20
60805988,2019-11-13,10623.59000000000000000000
60806478,2019-11-20,226115.28072000000000000000
60806488,2019-04-03,22026.84000000000000000000
60806618,2019-08-13,0E-20
60806758,2019-05-30,5776.00000000000000000000
60807428,2019-06-20,0E-20
60807518,2019-12-17,5902.89885000000000000000
60807578,2019-02-27,13930.10000000000000000000
60807718,2019-09-19,16429.93000000000000000000
60807958,2019-08-27,0E-20
60807968,2019-05-10,5199.54182000000000000000
60808118,2019-06-13,3343.52000000000000000000
60808398,2019-07-19,3808.55000000000000000000
60808508,2019-12-04,10400.00000000000000000000
60809258,2019-12-19,0E-20
60809918,2019-11-19,15126.35000000000000000000
60810078,2019-04-23,7618.50000000000000000000
60810398,2019-06-12,15654.65000000000000000000
60811318,2019-07-08,34140.41000000000000000000
60811618,2019-02-01,8677.06000000000000000000
60812128,2019-05-14,14831.21000000000000000000
60812388,2019-03-05,3030.22000000000000000000
60812618,2019-10-25,26596.97000000000000000000
60812668,2019-05-28,12944.45000000000000000000
60812978,2019-12-02,23285.97000000000000000000
60813178,2019-03-27,18749.70000000000000000000
60813408,2019-10-18,15782.42000000000000000000
60813528,2019-07-22,5612.67000000000000000000
60813658,2019-03-06,1020.93000000000000000000
60814198,2019-07-25,3008.92868500000000000000
60814688,2019-06-04,25806.01000000000000000000
60814708,2019-08-13,0E-20
60814798,2019-05-09,123085.96000000000000000000
60814818,2019-12-23,9100.78000000000000000000
60814858,2019-08-09,0E-20
60814998,2019-11-15,0E-20
60815008,2019-03-29,360073.87000000000000000000
60815058,2019-06-13,32678.74000000000000000000
60815078,2019-10-18,10728.02000000000000000000
60815158,2019-10-21,14057.09000000000000000000
60815208,2019-11-28,838330.15000000000000000000
60815228,2019-10-21,0E-20
60815318,2019-09-09,0E-20
60815388,2019-02-22,60.35000000000000000000
60815458,2019-09-19,0E-20
60815628,2019-09-10,9739.76000000000000000000
60815668,2019-12-24,11311.27000000000000000000
60815888,2019-04-01,6195.57000000000000000000
60815918,2019-08-19,87.82000000000000000000
60816098,2019-06-14,2412.94000000000000000000
60816178,2019-10-25,30329.49000000000000000000
60816758,2019-07-10,6888.83616500000000000000
60816768,2019-12-04,142532.00138274041200000000
60816818,2019-07-02,29607.55000000000000000000
60816828,2019-05-03,0E-20
60817018,2019-12-24,0E-20
60817058,2019-08-02,0E-20
60817198,2019-07-18,20540.83000000000000000000
60817258,2019-03-13,0E-20
60817328,2019-03-04,4741.96000000000000000000
60817358,2019-12-23,19428.26000000000000000000
60817818,2019-10-15,7741.64000000000000000000
60817868,2019-10-23,14806.53000000000000000000
60817958,2019-07-18,648923.78898000000000000000
60817978,2019-05-15,0E-20
60818068,2019-03-26,9753.01000000000000000000
60818098,2019-08-21,0E-20
60818128,2019-12-24,19832.85000000000000000000
